
 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2019-06-12                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2013-08-06 13:00:00.000 218       -13.00
2013-08-06 14:00:00.000 218       -13.00
2013-08-06 15:00:00.000 218       -14.00
2013-08-06 16:00:00.000 218       -13.00
2013-08-06 17:00:00.000 218       -12.00
2013-08-06 18:00:00.000 218       -15.00
2013-08-06 19:00:00.000 218       -18.00
2013-08-06 20:00:00.000 218       -19.00
2013-08-06 21:00:00.000 218       -24.00
2013-08-06 22:00:00.000 218       -25.00
2013-08-06 23:00:00.000 218       -22.00
2013-08-07 00:00:00.000 219       -24.00
2013-08-07 01:00:00.000 219       -25.00
2013-08-07 02:00:00.000 219       -23.00
2013-08-07 03:00:00.000 219       -19.00
2013-08-07 04:00:00.000 219       -16.00
2013-08-07 05:00:00.000 219       -12.00
2013-08-07 06:00:00.000 219       -10.00
2013-08-07 07:00:00.000 219       -10.00
2013-08-07 08:00:00.000 219        -9.00
2013-08-07 09:00:00.000 219        -8.00
2013-08-07 10:00:00.000 219        -8.00
2013-08-07 11:00:00.000 219        -8.00
2013-08-07 12:00:00.000 219        -5.00
2013-08-07 13:00:00.000 219        -3.00
2013-08-07 14:00:00.000 219        -5.00
2013-08-07 15:00:00.000 219        -8.00
2013-08-07 16:00:00.000 219        -9.00
2013-08-07 17:00:00.000 219       -11.00
2013-08-07 18:00:00.000 219       -14.00
2013-08-07 19:00:00.000 219       -17.00
2013-08-07 20:00:00.000 219       -17.00
2013-08-07 21:00:00.000 219       -17.00
2013-08-07 22:00:00.000 219       -18.00
2013-08-07 23:00:00.000 219       -17.00
2013-08-08 00:00:00.000 220       -18.00
2013-08-08 01:00:00.000 220       -18.00
2013-08-08 02:00:00.000 220       -18.00
2013-08-08 03:00:00.000 220       -15.00
2013-08-08 04:00:00.000 220       -11.00
2013-08-08 05:00:00.000 220        -6.00
2013-08-08 06:00:00.000 220        -6.00
2013-08-08 07:00:00.000 220        -9.00
2013-08-08 08:00:00.000 220       -10.00
2013-08-08 09:00:00.000 220       -12.00
2013-08-08 10:00:00.000 220       -11.00
2013-08-08 11:00:00.000 220        -8.00
2013-08-08 12:00:00.000 220        -6.00
2013-08-08 13:00:00.000 220        -5.00
2013-08-08 14:00:00.000 220        -4.00
2013-08-08 15:00:00.000 220        -6.00
2013-08-08 16:00:00.000 220        -7.00
2013-08-08 17:00:00.000 220       -11.00
2013-08-08 18:00:00.000 220       -11.00
2013-08-08 19:00:00.000 220       -11.00
2013-08-08 20:00:00.000 220        -6.00
2013-08-08 21:00:00.000 220        -2.00
2013-08-08 22:00:00.000 220        -7.00
2013-08-08 23:00:00.000 220        -8.00
2013-08-09 00:00:00.000 221        -9.00
2013-08-09 01:00:00.000 221       -12.00
2013-08-09 02:00:00.000 221       -10.00
2013-08-09 03:00:00.000 221        -2.00
2013-08-09 04:00:00.000 221         4.00
2013-08-09 05:00:00.000 221         2.00
2013-08-09 06:00:00.000 221         6.00
2013-08-09 07:00:00.000 221         5.00
2013-08-09 08:00:00.000 221         7.00
2013-08-09 09:00:00.000 221        10.00
2013-08-09 10:00:00.000 221         9.00
2013-08-09 11:00:00.000 221         6.00
2013-08-09 12:00:00.000 221         2.00
2013-08-09 13:00:00.000 221         6.00
2013-08-09 14:00:00.000 221        11.00
2013-08-09 15:00:00.000 221         9.00
2013-08-09 16:00:00.000 221         5.00
2013-08-09 17:00:00.000 221         2.00
2013-08-09 18:00:00.000 221         2.00
2013-08-09 19:00:00.000 221         1.00
2013-08-09 20:00:00.000 221         2.00
2013-08-09 21:00:00.000 221        -3.00
2013-08-09 22:00:00.000 221        -4.00
2013-08-09 23:00:00.000 221        -7.00
2013-08-10 00:00:00.000 222        -9.00
2013-08-10 01:00:00.000 222        -9.00
2013-08-10 02:00:00.000 222       -12.00
2013-08-10 03:00:00.000 222        -9.00
2013-08-10 04:00:00.000 222        -4.00
2013-08-10 05:00:00.000 222         0.00
2013-08-10 06:00:00.000 222         2.00
2013-08-10 07:00:00.000 222        -1.00
2013-08-10 08:00:00.000 222         0.00
2013-08-10 09:00:00.000 222        -1.00
2013-08-10 10:00:00.000 222         1.00
2013-08-10 11:00:00.000 222         5.00
2013-08-10 12:00:00.000 222         8.00
2013-08-10 13:00:00.000 222         6.00
2013-08-10 14:00:00.000 222         0.00
2013-08-10 15:00:00.000 222         2.00
2013-08-10 16:00:00.000 222         3.00
2013-08-10 17:00:00.000 222         7.00
2013-08-10 18:00:00.000 222         8.00
2013-08-10 19:00:00.000 222        10.00
2013-08-10 20:00:00.000 222        10.00
2013-08-10 21:00:00.000 222        10.00
2013-08-10 22:00:00.000 222         7.00
2013-08-10 23:00:00.000 222         4.00
2013-08-11 00:00:00.000 223        -2.00
2013-08-11 01:00:00.000 223        -6.00
2013-08-11 02:00:00.000 223        -1.00
2013-08-11 03:00:00.000 223         0.00
2013-08-11 04:00:00.000 223        -1.00
2013-08-11 05:00:00.000 223         2.00
2013-08-11 06:00:00.000 223         5.00
2013-08-11 07:00:00.000 223         5.00
2013-08-11 08:00:00.000 223         5.00
2013-08-11 09:00:00.000 223         5.00
2013-08-11 10:00:00.000 223         5.00
2013-08-11 11:00:00.000 223         4.00
2013-08-11 12:00:00.000 223         4.00
2013-08-11 13:00:00.000 223         4.00
2013-08-11 14:00:00.000 223         3.00
2013-08-11 15:00:00.000 223         0.00
2013-08-11 16:00:00.000 223        -1.00
2013-08-11 17:00:00.000 223        -3.00
2013-08-11 18:00:00.000 223        -5.00
2013-08-11 19:00:00.000 223        -2.00
2013-08-11 20:00:00.000 223         1.00
2013-08-11 21:00:00.000 223         0.00
2013-08-11 22:00:00.000 223        -2.00
2013-08-11 23:00:00.000 223        -7.00
2013-08-12 00:00:00.000 224        -9.00
2013-08-12 01:00:00.000 224        -6.00
2013-08-12 02:00:00.000 224        -2.00
2013-08-12 03:00:00.000 224         2.00
2013-08-12 04:00:00.000 224         7.00
2013-08-12 05:00:00.000 224        10.00
2013-08-12 06:00:00.000 224        11.00
2013-08-12 07:00:00.000 224         9.00
2013-08-12 08:00:00.000 224         8.00
2013-08-12 09:00:00.000 224         9.00
2013-08-12 10:00:00.000 224         9.00
2013-08-12 11:00:00.000 224         8.00
2013-08-12 12:00:00.000 224         7.00
2013-08-12 13:00:00.000 224         6.00
2013-08-12 14:00:00.000 224         5.00
2013-08-12 15:00:00.000 224         8.00
2013-08-12 16:00:00.000 224         4.00
2013-08-12 17:00:00.000 224         6.00
2013-08-12 18:00:00.000 224         4.00
2013-08-12 19:00:00.000 224         3.00
2013-08-12 20:00:00.000 224         5.00
2013-08-12 21:00:00.000 224         3.00
2013-08-12 22:00:00.000 224        -1.00
2013-08-12 23:00:00.000 224        -3.00
2013-08-13 00:00:00.000 225        -5.00
2013-08-13 01:00:00.000 225        -5.00
2013-08-13 02:00:00.000 225        -7.00
2013-08-13 03:00:00.000 225        -6.00
2013-08-13 04:00:00.000 225        -2.00
2013-08-13 05:00:00.000 225         4.00
2013-08-13 06:00:00.000 225         7.00
2013-08-13 07:00:00.000 225         6.00
2013-08-13 08:00:00.000 225         9.00
2013-08-13 09:00:00.000 225         7.00
2013-08-13 10:00:00.000 225         2.00
2013-08-13 11:00:00.000 225         4.00
2013-08-13 12:00:00.000 225        11.00
2013-08-13 13:00:00.000 225        15.00
2013-08-13 14:00:00.000 225        15.00
2013-08-13 15:00:00.000 225        18.00
2013-08-13 16:00:00.000 225        10.00
2013-08-13 17:00:00.000 225        -4.00
2013-08-13 18:00:00.000 225       -10.00
2013-08-13 19:00:00.000 225        -6.00
2013-08-13 20:00:00.000 225        -2.00
2013-08-13 21:00:00.000 225        -7.00
2013-08-13 22:00:00.000 225       -10.00
2013-08-13 23:00:00.000 225        -8.00
2013-08-14 00:00:00.000 226       -13.00
2013-08-14 01:00:00.000 226       -18.00
2013-08-14 02:00:00.000 226       -27.00
2013-08-14 03:00:00.000 226       -28.00
2013-08-14 04:00:00.000 226       -26.00
2013-08-14 05:00:00.000 226       -18.00
